parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mhz,measured_mhz,resource_applied
4401,5,1100,1,4,4,5272.713970,5272.744438,0.030468,0x405149,40,4300.000000,4300.000000,1
4401,5,1100,2,4,4,5272.714439,5272.742945,0.028506,0x405149,48,800.000000,2800.997862,1
4401,5,1100,3,4,4,5272.714708,5272.743023,0.028315,0x405149,56,800.000000,2800.000000,1
4798,2,1200,0,4,4,5744.964118,5748.279650,3.047556,0x40500b,0,3731.327931,3786.156233,1
4798,2,1200,1,4,4,5744.962757,5748.280970,3.070525,0x40500b,40,4300.000000,4245.632980,1
4798,2,1200,2,4,4,5744.962678,5748.275459,2.964644,0x40500b,48,2905.125048,3072.493647,1
4798,2,1200,3,4,4,5744.962818,5748.275521,3.085577,0x40500b,56,2851.762443,2959.351748,1
4799,3,1200,0,4,4,5748.346750,5748.531741,0.184991,0x40504c,0,800.000000,3698.404313,1
4799,3,1200,1,4,4,5748.346826,5748.527901,0.181075,0x40504c,40,800.000000,4099.773280,1
4799,3,1200,2,4,4,5748.347278,5748.528739,0.181461,0x40504c,48,1579.292076,2899.840212,1
4799,3,1200,3,4,4,5748.347051,5748.536112,0.189061,0x40504c,56,4300.000000,2799.703986,1
4800,4,1200,0,4,4,5748.712391,5748.746853,0.034462,0x4050f7,0,4300.000000,3688.321377,1
4800,4,1200,1,4,4,5748.710733,5748.738265,0.027532,0x4050f7,40,800.000000,4097.032211,1
4800,4,1200,2,4,4,5748.711149,5748.738990,0.027841,0x4050f7,48,800.000000,2901.058008,1
4800,4,1200,3,4,4,5748.711040,5748.739696,0.028656,0x4050f7,56,800.000000,2801.981599,1
4801,5,1200,0,4,4,5748.804573,5748.828528,0.023955,0x405149,0,800.000000,4292.921811,1
4801,5,1200,1,4,4,5748.804876,5748.837199,0.032323,0x405149,40,4300.000000,4098.713927,1
4801,5,1200,2,4,4,5748.804817,5748.824337,0.019520,0x405149,48,800.000000,4102.139875,1
4801,5,1200,3,4,4,5748.804931,5748.823470,0.018539,0x405149,56,800.000000,4300.000000,1
5198,2,1300,0,4,4,6211.119959,6214.288562,2.986437,0x40500b,0,3930.249831,3917.645899,1
5198,2,1300,1,4,4,6211.118891,6214.290465,3.086920,0x40500b,40,4300.000000,4118.988499,1
5198,2,1300,2,4,4,6211.118786,6214.286977,2.939344,0x40500b,48,3076.380327,3060.684168,1
5198,2,1300,3,4,4,6211.118926,6214.283963,2.824131,0x40500b,56,3165.521377,3158.955499,1
5199,3,1300,0,4,4,6214.361579,6214.543960,0.182381,0x40504c,0,3060.391609,3726.450624,1
5199,3,1300,1,4,4,6214.361130,6214.543311,0.182181,0x40504c,40,3488.710784,3969.570471,1
5199,3,1300,2,4,4,6214.361208,6214.541045,0.179837,0x40504c,48,3481.301869,3031.530879,1
5199,3,1300,3,4,4,6214.361464,6214.534399,0.172935,0x40504c,56,4300.000000,3187.298737,1
5200,4,1300,0,4,4,6214.715958,6214.752069,0.036111,0x4050f7,0,4300.000000,2996.703297,1
5200,4,1300,1,4,4,6214.714418,6214.748048,0.033630,0x4050f7,40,1136.863318,3400.000000,1
5200,4,1300,2,4,4,6214.714516,6214.738277,0.023761,0x4050f7,48,800.000000,3400.000000,1
5200,4,1300,3,4,4,6214.714368,6214.733643,0.019275,0x4050f7,56,800.000000,4297.720042,1
5201,5,1300,0,4,4,6214.810957,6214.842865,0.031908,0x405149,0,800.000000,2997.180451,1
5201,5,1300,1,4,4,6214.810681,6214.848679,0.037998,0x405149,40,4300.000000,3400.000000,1
